___ annotation is used to specify URI of the resource | @path
<?xml version="1.0"?> <script> <![CDATA [function matchwo(a,b) { if (a < b && a < 0) then { return 1 } } ]]> </script> The above code: | executes without any error
<?xml version="1.0"> | xml declaration
<?xml version=1.0 encoding=UTF-8?> <aaa> <bbb>ccc</bBb> </aaa> Choose the correct answer | the document is not well-formed
</PITarget <instruction>/> is a processing instruction | f
<elemencName xmlns=' URL' > is the correct syntax for declaring a default namespace | t
<html><body><form action="loginPage.jsp">Login ID:<input type= "text" name="loginID"><br>Password:<input type="password" name="password"><br><input type="submit" value="Login"><input type="reset" value="Reset"></form></body><html> Study the above html code. Assume that user clicks button Reset. What is the correct statement? | a. all inputs are cleared.
<SCRIPT LANGUAGE = " "> var c = new Array(8) for( var i = 0; i < 10; i++ ) c[i] = i; document.write(c[9]) </SCRIPT> What would the browser display if this script was executed? | 9
<Student:Name age ="12">Kevin</ Student:Name> it the correct for associating age with the student namespace. | f
<xml> and <_Name> - Identify whether the following tags are valid or invalid | invalid, valid
$x is an | variable
11 The ONFOCUS event fires when ________. | (c) an element is clicked.
A ____ _____ allows you to build app that is interoperable applications | web service
A _____ _____ is used to receive a message from a queue | message listener
A _____ function returns number of nodes present in an argument node-set | count
A _____ instruction do contains the template, which is been applied to each node selected with the select attribute. | xsl:foreach
A ____________ is a group of operations, which appear as one large operation during execution. | transaction
A ____________ session bean is a bean that holds conversations that span a single method call. | stateless
A ___________________________ in EJB is an object that is deploy on any EJB Server | component
A .. manages the threading for the servlets and JSPs and provides the necessary interface with the Web server | web container
A .................... manages the threading for the servlets and JSPs and provides the necessary interface with the Web server. | a. web container
A bean present in the page and identified as 'mybean' has a property named 'name'. Which of the following is a correct way to print the value of this property? | a. <jsp:getproperty name="mybean" property="name"/>
A bean with a property color is loaded using the following statement <jsp:usebean id="fruit" class="Fruit"/> What happens when the following statement is executed. Select the one correct answer. <jsp:setProperty name="fruit" property="*"/> | c. all the properties of the fruit bean are assigned the values of input parameters of the jsp page that have the same name
A bean with a property color is loaded using the following statement <jsp:usebean id="fruit" class="Fruit"/> Which of the following statements may be used to print the value of color property of the bean. Select the one correct answer | <jsp:getproperty name="fruit" property="color"/>
A bean with a property color is loaded using the following statement <jsp:useBean id="fruit" class="Fruit"/> Which statement may be used to set the color property of the bean | <jsp:setproperty name="fruit" property="color" value="white"/>
A bean with a property color is loaded using the following statement <jsp:useBean id="fruit" class="Fruit"/>Which of the following statements may be used to print the value of color property of the bean?. Select the one correct answer. | <jsp:getproperty name="fruit" property="color"/>
A built-in simple element can contain a default value or a facet value | f
A child element can be a parent element. | true
A child element inherits the properties of an ancestor element only if it is an immediate child | f
A Complex Type element can be defined using | <xsd:complextype name= />
A constructor | converts information contained in an xml document to another data type
A county library uses an XML based application to query an XML database of books maintained | sax
A CSS style sheet is associated with an XML document using the processing instruction xml-stylesheet. | t
A custom user defined datatype can be created using the <simpleType> definition | f
A Data Island is a way to hold XML code within an HTML page. | true
A database transaction must be ___ | acid
A default namespace applies to the element on which it was defined and all descendants of that element | t
A default namespace is used by an element and its child elements if the element has a namespace prefix | f
A default value is automatically assigned to the attributes when no other value is specified. | true
A default value is the value that is assigned automatically to the element when there is no other value specified | t
A descendant having a new namespace cannot override the namespace defined by the parrent element? | false
A developer is working on a project that includes both EJB 2.1 and EJB 3.0 session beans. A lot of business logic has been implemented and tested in these EJB 2.1 session beans. Some EJB 3.0 session beans need to access this business logic. Which design approach can achieve this requirement? | c. no need to modify existing ejb 2.1 session beans. use the @ejb annotation to inject a reference to the ejb 2.1 home interface into the ejb 3.0 bean class.
A developer must implement a "shopping cart" object for a web-based application. The shopping cart must be able to maintain the state of the cart, but the state is not stored persistently. Which JEE (J2EE) technology is suited to this goal? | c. stateful session beans
A developer wants to achieve the following two behaviors for an EJB 3.0 session bean:(1) If the client calls a business method with a transaction context, the container will invoke the enterprise bean's method in the client's transaction context.(2) If the client calls a business method without a transaction context, the container will throw the javax.ejb.EJBTransactionRequiredException.Which transaction attribute should be used? | a. mandatory
A DTD can be declared inline in your XML document, or as an | external reference
A DTD is an XML document | f
A DTD is written for the above XML document such that the above XML document is validated successfully | the dtd needs to declare xml:space as an attribute of the root element
A facet is a valid value that can be assigned to an attribute | true
A good choice would be the <Contributor> element. | .
A Java bean with a property color is loaded using the following statement <jsp:usebean id="fruit" class="Fruit"/> What is the effect of the following statement. <jsp:setproperty name="fruit" property="color"/> Select the one correct answer. | if there is a non-null request parameter with name color, then its value gets assigned to color property of java bean fruit.
A Java developer needs to be able to send email, containing XML attachments, using SMTP. Which JEE (J2EE) technology provides this capability? | d. javamail
A Java transformer can use | all of the above
A JavaBeans component has the following field | public void setenabled( boolean enabled) public booleangetenabled()
A JSP expression is used to insert values directly into the output. | true
A JSP file that uses a tag library must declare the tag library first. The tag library is defined using the taglib directive - <%= taglib uri="..." prefix="..."%> Which of the following specifies the correct purpose of prefix attribute. Select the one correct answer. | the prefix attribute is used in front of a tagname of a tag defined within the tag library.
A JSP file uses a tag as <myTaglib:myTag>. The myTag element here should be defined in the tag library descriptor file in the tag element using which element. Select the one correct answer | name
A JSP page called test.jsp is passed a parameter name in the URL using http://localhost/Final/test.jsp?name=John. The test.jsp contains the following code.<% String myName=request.getParameter("name");%><% String test= "Welcome " + myName; %><%=test%>What is the output? | the page display "welcome john"
A JSP page called test.jsp is passed a parameter name in the URL using http://localhost/test.jsp?name="John". The test.jsp contains the following code. <%! String myName=request.getParameter();%><% String test= "welcome" + myName; %><%= test%> | the program gives a syntax error because of the statement <%! string myname=request.getparameter();%>
A JSP page has the following page directives:<%@page isErrorPage='false' %> <%@page errorPage='/jsp/myerror.jsp' %> Which of the following implicit object is NOT available to the jsp page? | exception
A JSP page needs to generate an XML file. Which attribute of page directive may be used to specify that the JSP page is generating an XML file? | a. <%@page contenttype ="text/xml">
A JSP page uses the java.util.ArrayList class many times. Instead of referring the class by its complete package name each time, we want to just use ArrayList. Which attribute of page directive must be specified to achieve this. Select the one correct answer | import
A JSP page will not have access to session implicit variable if: | the session attribute of page directive is set to false
A lot of properties and methods are repeated in each of the DOM objects as they inherit the XMLDOMNode object. | true
A Markup Language is defined as a set of rules adding some meaning to the content and structure of documents. | t
A model applied to dynamic documents is known as: | tree model
A model applied to static document objects is: | linear model
A namespace is a collection of names that can be used as element names or attribute names in XML document | t
A node can have more than one parent nodes | f
A node-set is an unordered group of nodes from the input document. | t
A parent element cannot contain another parent element. | false
A procedure for solving a problem in terms of the actions to be executed and the order in which these actions are to be executed is called ________. | an algorithm
A processing command is removed from an XML document before the XML document is passed along to the application that uses the XML document. | false
A program in which all statements are executed one after the other in the order in which they are written exhibit ________. | sequential execution
A prolog can contain XML declarations, XML comments (which describe the XML document) | processing instructions, whitespace, and doctype declaration(s).
A question mark following the name of a child name in the declaration of a parent element means | the child element is optional.
A regular expression can be used to specify complex restrictions for the content of an element. | true
A SAX parser | reads a block of an xml document at a time
A session bean being used by a client can also be used by another client. | false
A simple element is an XML element that can contain only | text
A small retailer maintains inventory data in an XML document. This inventory data is read by an application. | dom parser
A stateful session bean must commit a transaction before a business method | b. false
A Stream is a series of characters that can be the results of transformation performed by a Java transformer. | true
A string is a sequence of one or more Unicode characters | f
A University wants to unify all their applications from the various departments in order | use an xslt stylesheet to convert the incoming or outgoing xml document into the format used within the division
A user types the URL http://www.javaprepare.com/scwd/index.html . Which HTTP request gets generated. Select the one correct answer | a. get method
A valid SOAP message should contain which of the following XML elements ? | envelope, body
A variable that your webpage can store on or retrieve from the users computer is known as ? | cookie
A web application is located in "helloapp" directory. Which directory should it's deployment descriptor be in? | helloapp/web-inf
a_____ function returns number of nodes present in an argument node-set | count
a_____ instruction do contains the template, which is been applied to each node selected with the select attribute | a. xsl:for-each
a++; is the same as which of the following | a=a+1
Ability to create one's own tags is XML's greatest disadvantage? | false
According to Bohm and Jacopini, which of the following does not follow structured programming? | b. nested building blocks
Action _______has the ability to match request parameters to properties of the same name in a bean by specifying "*" for attribute property. | a. <jsp:setproperty>
Actions that can be detected by JavaScript are called? | events
All Biztalk documents have the root element ________. | d. biztalk
All functions used by an XQuery are built in functions. | false
All major browsers have support of XML and XSLT. | true
All processing instructions begin and end with | <? ... ?>
All variables declared in function definitions are ________. | b) local variables
All XML markup tags must have an attribute. | false
All XML processors are supposed to implement at least the UTF-8 (compressed Unicode) and UTF-16 (compressed UCS) character encodings | in practice, you can only count on utf-8, however
Allow to validate documents that use markup from multiple namespaces? | namespace support
An _____ XML document conforms to the rules of a Document Type Definition ( DTD. | well-formed
An attribute contains a | name/value pair
An attribute gives you more information, and is always assigned a quoted value in XML. | here's how you might add an attribute named language to this element: <greeting language = "en">hello</greeting>.
An attribute is another name for stating property of an element. | true
An attribute specified in XML Schema has a default value. Is this case the attribute can also be: | optional
An attribute which does not have to included is indicated by the value: | #implied
An attribute without a prefix is in default namespace? | true
an attributes can be accessed in the way similar to the elements. Notice ____ in front of the attribute name. | @
An element declaration has the following syntax: | <!element elementname category>
An element name can begin with | all of the above
An empty complex element cannot have any contents, only | attributes
An Entity bean must be capable of forming ____ | relationships
An image tag is an example of an EMPTY element. | true
An MNC receives at its headquarter from its subsidiaries, XML documents containing various reports of that subsidiary. These reports need to be displayed to the person responsible at the headquarter for that subsidiary in a userfriendly manner (allowing searches through the document) and the person is allowed to make any changes/comments that he/she desires. Once the user is done with all the changes/comments the information needs to be fed into the central database. Which of the following is MOST appropriate for processing these XML documents? | dom
An object with page scope exists in every JSP of a particular Web application. | false
An object's methods and attributes are accessed by writing the name of the object followed by the________. | dot operator
An XML based application maintains a very large configuration file in XML format. | sax
An XML based web application to process audio files which are binary in nature needs to be written. | uddi
An XML document can be displayed in different formats in different display devices such as computer, printer, and the like | t
An XML document can be validated against a DTD by calling the validate() method. | true
An XML document must contain all elements declared in the DTD. | false
An XML document, which conforms to its DTD, is called a: | well formed document
An XML element can contain other XML elements | true
An XML element is the basic data-holding construct in an XML document | it starts with an opening tag, can contain text or other elements, and ends with a closing tag, like this: <greeting>hello</greeting>
An XML Schema defines how many child elements can appear in an XML document? | t
An XML Schema defines the structure of an XML document | t
An XML Schema defines whether an element is empty or can include text. | true
An XML Schema describes the structure of an XML ____ | document
An XML Schema is an XML-based add-on to DTDs | f
An XML schema is used to define a complex type. | true
An XPath _________ is similiar to a programming if...then conditional statement that allows you to select elements based upon certain criteria. | predicate
An Xpath expression describes the location of an element or attribute in our XML document | true
An XPath predicate is contained within _________, and comes _______ the parent element of what will be tested. | [ ] , after
An xsl:numbers do inserts a formatted numbers into the ____ | output
An XSLT processor takes three things as input such as XSLT stylesheet, XML document and Document Type Declaration | f
Annotation for *..1 | @manytoone
Annotation for 1..* | @onetomany
Annotation for 1..1 | @onetoone
Annotation for.. | @manytomany
Any class that extends ____ is a servlet | httpservlet
ANY indicates that an element can contain only one child element of character data. | false
Apple Safari supports XML and XSLT from version _____. | 3
Are comments processed by the processor? | f
Are the following element declarations identical ? | no
Are XML and DTD comments in the same format | yes
Assertion: Implementing EDI involves high costs.Reason: EDI is built on fixed transaction set.Which of the following hold TRUE for this Assertion-Reason? | both the assertion and the reason are true, and the reason is a correct explanation of the assertion.
Assigning a style to a tag helps the user agent to interpret the data following specific rules. | true
Assume <BODY> is used as the root element in an XML document. This indicates that | root element can be customized. + root element describes the function of the document.
Assume that you need to write a JSP page that adds numbers from one to ten, and then print the output.<% int sum = 0;for(j = 0; j < 10; j++) { %>// XXX --- Add j to sum<% } %>// YYY --- Display the sum Which statement when placed at the location XXX can be used to compute the sum. Select the one correct statement | <% sum = sum + j; %>
Assuming that the xsd prefix is mapped to the namespace URI for XML schema, what is the type | xsd:anytype
At the end of your XPath expression, add the symbol _________ plus the name of the attribute you wish to select. | @
Attribute values must always be enclosed by double quotes. | false
attributes | it is the advice of w3schools to use tags rather than __________
attributes | these provide additional information about an element
Attributes are by default: | optional
Attributes belonging to a particular elements within some namespace is also a part of the same namespace | f
Attributes provide _______ about elements. | extra information
Besides testing the values of elements, you can also use predicates to check the values of attributes. | true
Both Mozilla and Internet Explorer support W3C's DOM specification. | true
Boxes can be overlapped using the z-index property. | true
Browser displays the content directly after the parser passes the data. | f
Browser has the ability distinguish duplicate element names in an XML document? | false
Builds the document as a in-memory data structures? | dom
By default the white space in elements is not truncated. | t
By starting at the _______ element, we can select any element in the XML document by carefully creating a chain of children elements. | root
Call-by- ________ is the method of passing a copy of the argument's value to a function | value
Call-by- ________ is the method of passing the argument's actual location in memory to a function. | d) reference
Can a simple type (from XML Schema ) have attributes | no
Can we use the annotation @PrePassivate for more than one method in a Entity bean? | b. no
Can you define list of lists in XML Schema ? | no
Can you have external entities in an attribute of type CDATA | no
Can you nest attribute groups inside other attribute groups | yes
Can you nest DTD conditional sections | yes
Can you retrict the content of an XML element to take only values from an enumeration list (using DTDs) | no
Can you use the keywords IGNORE and INCLUDE in the internal subset of a DTD | no
carrying | html is a about displaying information, while xml is about _____________ data (transport and storage)
Cascading Style Sheets | css (acronym)
Cascading Style Sheets derived the term cascade from the ability to mix and match rules from different sources | t
Cascading Style Sheets lack support to define spacing between data, | f
case | xml tags are _____________ sensitive
CDATA is text that _____ be parsed by a parser. | will not
CDATA is text that will be parsed by parser. Identify whether the statement is valid. | not valid
CDATA starts with "<[!CDATA[" and ends with "]]>". | t
Character data is treated as regular text | f
Characters like ">" and "&" can be used in CDATA sections. | t
child element | any element located within the root element
Child elements declared in a sequence need not appear in the document in the same sequence. | false
childNodes' is a property of the DOMDocument Object: (Select the correct statements) | read-only.+contains a node list containing the children.
Choose the correct syntax of x:parse in XML tag of JSTL | <x:parse var="x" scope="session" xml = "${xml}"/>
Client reduces the server load by sending large amount of information in one XML document to the server. | t
closing tag | in xml, all elements must have a ____________
Comments appear only in the document prolog. | f
Comments are processed by the processor. | f
complement | xml is a _______________ to html
Consider and xml document <?xml version="1.0"?> <?xml-stylesheet type="text/css" href=xsampdoc.css ?> <xsampdoc> <greeting>All The Best!</greeting> </xsampdoc> The code for the style sheet xsampdoc is given as: greeting { display:block; font-family:Arial,Helvetica, sans-serif;font-size:32pt; width:30em; color:red; } What will be the output of the above code? | the xml document will be displayed in the tree format
Consider the contents of 2 jsp files:<!-- In File : test.jsp --><html><body><% String s = "Hello"; %>//1 insert LOC here.<%=s%></body></html><!-- In File : test2.jsp --><% s = s+" world"; %>What can be inserted at //1 so that it prints "Hello world" when test.jsp is requested? | <jsp:include page="test2.jsp"/>
Consider the following code selections. Assume count is initialized to 7 and num is initialized to 0 | c. 7, 0
Consider the following code selections. Assume count is initialized to 7 and num is initialized to 0. i) ii) do { while ( count < 6 ) num = count; num = count; } while ( count < 6 ) What will the value of num be for i) and ii) respectively after the loops have been executed? | 7, 0
Consider the following declaration: !ATTLIST student age CDATA ???? Which one of the following can be used to replace ???? in the above definition? | #implied
Consider the following HTML code. <HTML> <SCRIPT LANGUAGE = "JavaScript"> <!-- document.writeln("Hello World"); // --> </SCRIPT> </HTML> What would a browser capable of scripting display when executing this code? | hello world
Consider the following HTML code. Which method of MyFirstServlet will be invoked when you click on the url shown by the page? | a. doget
Consider the following HTML document. <!DOCTYPE html PUBLIC "-//W3C//DTD HTML 4.0 Transitional//EN"> <HTML> <HEAD> <TITLE>Object Model</TITLE> <SCRIPT LANGUAGE = "JavaScript"> function start() { alert( pText.innerText ); pText.innerText = "Thanks for coming."; } </SCRIPT> </HEAD> <BODY ONLOAD = start()> <P ID = "pText">Welcome to our Web page!</P> </BODY> </HTML> Which of the following selections a true statement? | the ptext object does not have an innertext attribute.
Consider the following HTML document. <HTML> <HEAD> <TITLE>Children Collection</TITLE> <SCRIPT LANGUAGE = "JavaScript"> </SCRIPT> </HEAD> <BODY> <P></P> </BODY> </HTML> Select the true statement. | the script element is a direct child of the head element.
Consider the following HTML document. <HTML> <HEAD><TITLE>Frames collection</TITLE> </HEAD> <FRAMESET ROWS = "100, *"> <FRAME SRC = "top.html" NAME = "first"> <FRAME SRC = "" NAME = "second"> </FRAMESET> </HTML> Which of the following is the proper way to access the frame "second" from the script of an outside document? | document.frames( "second")
Consider the following HTML document. 1 <!DOCTYPE html PUBLIC "-//W3C//DTD HTML 4.0 Transitional//EN"> 2 <HTML> 3 <HEAD> 4 <TITLE>Object Model</TITLE> 5 6 <SCRIPT LANGUAGE = "JavaScript"> 7 function start() 8 {9 alert( pText.innerText );10 pText.innerText = "Thanks for coming.";11 } 12 </SCRIPT>13 14 </HEAD> 15 16 <BODY ONLOAD = start()> 17 18 <P ID = "pText">Welcome to our Web page!</P> 19 20 </BODY> 21 </HTML> Which of the following selections a true statement? | the ptext object does not have an innertext attribute.
Consider the following HTML document. 1 <HTML> 2 <HEAD> 3 <TITLE>Children Collection</TITLE> 4 <SCRIPT LANGUAGE = "JavaScript"> 5 </SCRIPT> 6 </HEAD> 7 <BODY> 8 <P></P> 9 </BODY> 10 </HTML> Select the true statement. | d) the script element is a direct child of the head element.
Consider the following java code://in file Book.java package com.bookstore;public class Book{private long isbn; public Book(){ isbn = 0; }public long getIsbn(){ return isbn; }public void setIsbn(long value){ this.isbn = value; }}Code for browse.jsp:<jsp:useBean class="com.bookstore.Book" id="newbook" />LINE 1 : <jsp:setProperty name="newbook" property="isbn" value="1000"/> Which of the following statements are correct? | a. the isbn property of newbook will be set to 1000.
Consider the following script. What is wrong with the following code?<SCRIPT LANGUAGE = "JavaScript">var firstNumber,secondNumber;thirdNumber;thirdNumber =parseInt( window.prompt( "Enter an integer", 0 ) );document.write( thirdNumber );</SCRIPT> | the word var must be placed before thirdnumber in line 4.
Consider the following statements: Statement A: A namespace is a method of preventing conflicts between elements having the same names. Statement B: A namespace URI is the same as a Web URI. Which of the following is correct about the above statements? | both, statement a and statement b, are true.
Consider the following statements: Statement A: Java Architecture for XML Binding (JAXB) provides a fast and convenient way to bind between XML schemas and Java representations, making it easy for Java developers to incorporate XML data and processing functions in Java applications. Statement B: JAXB provides methods for unmarshalling (writing) XML instance documents into Java content trees, and then marshalling (reading) Java content trees back into XML instance documents. | statement a is true, and statement b is false.
Consider the following statements: Statement A: The xjc schema compiler, also called the binding compiler, is an important part of a JAXB implementation. The compiler binds a source XML schema to a set of schema-derived program elements. The binding is described by an XML-based binding language in a binding file. The binding compiler produces a set of packages containing Java source files and JAXB property files. Statement B: In most cases, the default bindings generated by the binding compiler are sufficient. However, there are cases where you might want to modify the default bindings (for example, you might want to provide more meaningful package names than are generated by default), you can use the following syntax: xjc schema_file.xsd g package_name | statement a is true, and statement b is false.
Consider the following statements: Statement A: XML enables you to store data in a structured format by allowing you to create customized tags. Statement B: XML documents can be easily interpreted by target systems. Which of the following is correct about the above statements? | both, statement a and statement b, are true.
Consider the following statements: Statement A: XML is a text-based markup language that enables you to store data in a structured format by using meaningful tags. Statement B: XML allows you to format data as per the requirements of the application.Which of the following is correct about the above statements? | both, statement a and statement b, are true.
Consider the following statements: Statement A: XML stand for eXtensible Markup Language. Statement B: CSS stand for Creative Style Sheets.Which of the following is correct about the above statements? | statement a is true, and statement b is false.
Consider the following statements: Statement A: XSLT is a superset of the CSS functionality. Statement B: XSLT is an application of XML.Which of the following is correct about the above statements? | statement a is false, and statement b is true.
Consider the following statements: Statement A: You can point at a single document by using a hyperlink in HTML. Statement B: HTML links are multidirectional. which of the following is correct about the above statements? | statement a is true, and statement b is false.
Consider the following statements: Statement A: You can use the <!ATTLIST> statement in a DTD to declare an attribute for an element. Statement B: A single <!ATTLIST> statement can be used to declare multiple attributes for an element.Which of the following is correct about the above statements? | statement a is true, and statement b is false.
Consider the following XML document and the attached stylesheet. What is the result of applying | false
Consider the following XML document: <?xml version="1.0"?> <ORDERDETAILS> <PRODUCT ID="P001" NAME="Mini Bus" PRICE="75"><ORDER ID="O001"> <SHIP_ADD>10 NEWSLAND ESTATE, NY</SHIP_ADD> <QUANTITY>30</QUANTITY> </ORDER> <ORDER ID="O002"> <SHIP_ADD>11 NEWSLAND ESTATE, NY</SHIP_ADD> <QUANTITY>50</QUANTITY></ORDER> </PRODUCT> </ORDERDETAILS> Which of the following code snippets will you use to display the product of price and quantity | choose d
Consider the Formal Public Identifier -//W3C//DTD 1.8//IND Choose the correct answer | the formal public identifier is not valid because the fourth field is not valid
Consider the xml fragment 15. <aaa></aaa> 16. <bbb></bbb> Choose the correct answer when the SAX is used | at least callback method in content handler will be triggered after line 15 and before line 16
Consider: 1. XSL processor starts the root node and performs pattern matching in the style sheet 2. The style rules of the template are applied to the content to generate a result tree 3. XSL processor analyzes the templates and patterns associated with them to process different parts of the document tree Rearranged above steps for corrected processing of XSL | 1, 3, 2
Considering a linear model applied to a book the only disadvantage that occurs is that if the book is revised and the page number and line number of the topic changes the model fails to work. Is the statement a valid statement? | valid
Considering the following XML document, what is the result of count(//*): <?xml version="1.0" encoding="UTF-8"?> <root> <employee id="45"> <name>John</name> <salary>$100,000</salary> </employee> </root> | 4
Contents of sys.xml_schema_collections are : | predefined namespaces
create() method of entity bean home interface returns _____________ | null
createElement(fititlefl) means | create a new xml element
createTextNode method, append the text node to the <child> element by using the element's appendChild method, and append | .
Crimson and Xerces are some of the browsers | f
CSS (Cascading Style Sheets) | with __________ you can add display information to an xml document
CSS is a simple, styling-based approach that does not require advanced programming skills | t
CSS positions can be either absolute or ________. | relative
CSS understands _____ number of colours defined by their names: | 16
CSS uses complex elements to format the documents | f
dash, period, colon | for xml best naming practices, what three characters should you avoid?
Data in HTML cannot be structured. | t
Data Islands are also referred to as: | dsos
data transmissions | xml is the most common tool for __________ between all sorts of applications
DATASRC and DATAFLD are the two HTML attributes you normally use to bind an HTML control to a DSO. | .
Declarations are sorted by the order specified | t
Declarations are sorted by weight and origin | t
Declaring an attribute as 'optional, -, -' means | attribute may occur once and have any value
Default Fetch Behavior for Many-To-Many | lazy
Default Fetch Behavior for Many-To-One | eager
Default Fetch Behavior for One-To-Many | lazy
Default Fetch Behavior for One-To-One | eager
Deployment properties are stored in a _______________________ file. | xml
Describing an object in terms of behaviors without concern for how those behaviors are actually implemented is called ___ | b) data abstraction
Difference between XML and HTML | html was designed to display data and focus on how data looks
Differentiating between the different occurrences of a tag is by: | none of the above
display | xml documents do not carry information about how to __________ the data
displayed by a browser | xslt can be used to transform xml into html, before it is __________
Do you have child nodes of type entity references (internal or external) from XPath's perspective | no
DOCTYPE declarations are specified in the prolog of the XML document | t
Document Content is determined by | semantic markup
Document Models can be hierarchical model, non-linear model or object model? | f
Document object is the only object that is created. | t
Document Object Model allows programmers to write different set of code for interpreting document running on any platform? | f
Document Object Model allows programs and scripts to access and update content, structure and style of documents in a standard way | t
Document Object Model is platform-dependent? | false
Document Object Model treats a document as an object? | t
Document prolog can consist of version declaration, DTD comments and processing instructions. | t
Document Structure is determined by | structural markup
Document Type Definition | dtd (acronym)
Documents that follow the XML tag rules, but don't have a DTD are well-formed documents. | true
DOM 2 doesn't provide mechanism for interrogating and modifying the namespace for a document. | false
DOM considers all items present in XML document as node? | true
