which of these characters can be included within the text in an xml document in literal form? | ; & : -
if the dtd is included in your xml source file, it should be wrapped in a doctype definition with the following syntax: | <!doctype rootelement [elementdeclarations]>
you can also use a dtd to verify your own | data
if the dtd is external to your xml source file, it should be wrapped in a doctype definition with the following syntax: | <!doctype rootelement system "filename">
with dtd, each of your xml files can carry a ________ of its own format with it. | description
elements are the main building blocks of both | xml and html documents
attributes provide _______ about elements. | extra information
entities are variables used to define | common text
entities are expanded when a document is parsed by an xml | parser
which of these characters cannot be used as entity references in xml? | $
pcdata means: | parsed character data
cdata is text that _____ be parsed by a parser. | will not
cdata means: | character data
an element declaration has the following syntax: | <!element elementname category>
elements with only character data are declared with | #pcdata
in a dtd, attributes are declared with an _______ declaration | attlist
________ can validate your xml against a dtd. | internet explorer 5.0
schema is an _____ based alternative | xml
an xml schema describes the structure of an xml _______ . | document
xsd is: | xml schema definition
which of these are not supported by xml schema? | defines which files are child elements
xml schemas are the successors of | dtd
xml schema became a w3c recommendation | 02. may 2001
one of the greatest strength of xml schemas is the support for | data types
with xml schemas, the senders can ________ the data in a way that the receiver will understand. | describes
with an extensible schema definition you cannot: | all the above
a simple element is an xml element that can contain only | text
which of these are not kinds of complex elements? | elements that contain only numbers
if an element has attributes, it is considered to be of complex types. | true
the syntax for defining an attribute is: | <xs:attribute name="xxx" type="yyy"/>
a default value is automatically assigned to the attributes when no other value is specified. | true
attributes are by default: | optional
if an xml element is of type "xs:date" and contain a string like "hello world", the element will | not validate
restrictions on xml elements are called | facets
to specify how whitespace characters should be handled, we would use the whitespace | constraints
an empty complex element cannot have any contents, only | attributes
how many indicators are present in schema? | 7
xml dom is: | xml document object model
xml dom defines a standard way for | accessing and manipulating xml documents
the dom is separated into how many different parts? | 3
xml dom defines a standard set of objects for xml documents only. | true
the xml dom is language and platform | independent
the xml dom define a standard set of ______ for xml | objects
the dom treats the xml document as | treestructure
each attribute,element and text in the xml document represents a | node in the tree
both mozilla and internet explorer support w3c's dom specification. | true
there are differences between internet explorer's dom and mozilla's dom. the most important difference is that how they handle | whitespace text nodes
we can navigate between nodes with the use of their ________ to each other. | relationship
which of these are not the valid xml dom relationships? | nextnode
internet explorer will skip whitespace text node that are generated between nodes (e.g. newline characters), while mozilla will not. | true
the ________ method returns a node list that contains all elements with the specified tag name in the same order as they appear in the source document. | getelementsbytagname()
the ________ method can be used to display the value of the specified attribute. | getattribute()
the ______ method can be used to remove the specified node. | removechild()
how many parameters are there for deletedata() method ? (st art, length) | 2
the _____ method creates the new element node. | createelement()
how many parameters are there for replacedata() method ? (start, length,string) | 3
the _______ method is used to remove the attribute node. | removeattributenode()
xml cannot be used with html. | false
xml is more advantageous to use than a fixedlength database system because | all of the above.
sax is | an xml parser
pcdata is | an xml element that contains parsed character data
the document object model | is an xml parser
you must use a parser to read an xml document. | false
xml stores data in fixed lengths. | false
xml is a subset of | sgml
xml is used for web services. | true
an xml element can contain other xml elements | true
a parent element cannot contain another parent element. | false
an attribute contains a | name/value pair
the asterisk at the end of an element name in a dtd means its | the dtd contains zero to many of this element
what does the parser do with the cdata section of an xml document? | passes the data to the application that uses the xml document without any translation or interpretation
the doctype is used to | identify the dtd for an xml document
a child element can be a parent element. | true
all xml markup tags must have an attribute | false
special symbols can be inserted into an xml document using | a unicode value
you avoid conflict between an xml special character and information in an xml document by using a comment. | false
a processing command is removed from an xml document before the xml document is passed along to the application that uses the xml document. | false
an xml document must contain all elements declared in the dtd | false
pcdata refers to | parsed character data
a question mark following the name of a child name in the declaration of a parent element means | the child element is optional.
what is address, phone in the declaration ? | a group
what is this: ? | references a shared dtd
an image tag is an example of an empty element. | true
all xml markup tags must have an attribute. | false
an element name can begin with | all of the above
you cannot set valid options when declaring an attribute. | false
required specifies that an element is required in all xml documents that use the dtd. | false
an xml schema is used to define a complex type | true
type=fiintegerfl means | only integers can be used in the corresponding element.
xmlns:xs=fihttp://www.w3.org/2001/xmlschemafl is used to | identify the xml schema specifications used in the xml schema
the xs:sequence tag | specifies the sequence in which elements must appear in an xml document
xsi:schemalocation=ficustomers.xsdfl is used to | identify the location of the xml schema
you can require a specific value for an attribute by setting the value for fixed. | true
a regular expression can be used to specify complex restrictions for the content of an element. | true

a facet is a valid value that can be assigned to an attribute. | true
the xs:enumeration tag is used to define a valid value for an attribute. | true
xml can only be transformed into html or xhtml | false
instructions for transforming an xml document are contained in the | xsl stylesheet
the statement states | for each customer element of the source document thats a child of customers
the element is used to | extract text from the source document
the statement is used to | select the id attribute
the element contains only xsl elements. | false
the element instructs the css to evaluate a condition before extracting an element. | false
in order to sort numeric values, you must set the to | datatype=finumberfl
you can repeat lines of code within the xsl stylesheet by defining an apply template. | false
only a browser can access a result document. | false
the sax parser is able to transverse an xml document | false
the sax parser creates a node by using | none of the above
the sax parser reacts to a new element by using | startelement()
which of the following is represented as a node in the tree a dom parser creates? | all of the above
a java transformer can use | all of the above
the same version of a dom parser must be used on all computers. | false
a stream is a series of characters that can be the results of transformation performed by a java transformer. | true
a sax parser | reads a block of an xml document at a time
you should use a sax parser if a dom parser is unable to load the xml document into memory. | true
the appendchild() method links a node to the current node. | true
saxonb is the only software that can process an xquery. | false
what kind of clause is used to specify the filter criteria? | where clause
$x is an | variable
order by | places all return values in ascending order by default
the where clause | specifies the filter criteria
all functions used by an xquery are built in functions. | false
the data() function returns the text value of a variable. | false
a constructor | converts information contained in an xml document to another data type
the doc() function retrieves an xml document. | true
the roundhalftoeven() function rounds half the value returned by a function. | false
msxml can only be used with javascript. | false
the async = false means | statements will not execute until the xml document is being loaded.
firstchild is a | property containing a reference to the first child of an element
createelement(fititlefl) means | create a new xml element
fi/catalog/cd[@upc=fi + upc + fi] means | find the upc attribute that matches the value of the upc variable in the cd element
an xml document can be validated against a dtd by calling the validate() method. | true
the appendchild() appends a node to the end of an xml document. | true
the version is specified in activexobject(fimsxml2.domdocument.4.0fl) because | versions are designed to coexist with previous versions.
the loadxml() method is used when the document is passed as a string. | true
getattribute(fiupcfl) retrieves the value of the upc attribute. | true
which of the following is (are) a valid xml name(s)? | :3:3:5:7
dom 2 doesn't provide mechanism for interrogating and modifying the namespace for a document. | false
the dom specification describes how strings are to be manipulated by the dom by defining the datatype _______. it is encoded using _______ encoding scheme. | domstring, unicode
an mnc receives at its headquarter from its subsidiaries, xml documents containing various reports of that subsidiary. these reports need to be displayed to the person responsible at the headquarter for that subsidiary in a userfriendly manner (allowing searches through the document) and the person is allowed to make any changes/comments that he/she desires. once the user is done with all the changes/comments the information needs to be fed into the central database. which of the following is most appropriate for processing these xml documents? | dom
which of the following is an xmlbased service idl that defines the service interface and its implementation characteristics. | wsdl
xml document must be valid? | true
every xml document must be well formed | true
every xml document must have an associated dtd or schema | false
xml preserves white spaces | true
what makes xml more powerful than html? | its ability to adapt to new uses
unlike most other markup languages, including html, xml allows you to do what? | create new tags
in what year did the world wide web consortium release its draft of xml? | 1996
what organization presented the first version of starndardized generalized markup language (sgml) in 1980? ) | american national standards institute (ansi)
you can use xsl transformation (xslt) to convert database files described by xml to structured query language (sql) statements, which creates the tables, indexes and views that the xml data describes. | true
________ is a markup language for describing how content is rendered and _______ is a markup language for describing structured data—content is separated from presentation. | html, xml.
which of the following is not an extension of xml? | sgml.
which of the following xml attribute names is invalid? | i am not valid |  
which of the following things is unspecified in the following line of code?<!doctype letter system "letter.dtd"> | the type of browser you are using.
which of the following are tags is used to define rules for an element? | <!element ... (#pcdata)>
the question mark (?) operator indicates | either zero or one occurrence.
which of the following is not a keyword used for default settings in an! attlist element? | #define
which of the following elements is not valid inside a group element in an xbrl document? | value
which of the following xml based markup languages provides a protocol for business transactions on the internet? | cxml.
the ________ attribute is added to a table element’s opening tag to bind a data island to a table. | datasrc
which domdocument method is used to create a new attribute? | createattribute
the ________ element generates the markup for an element of the specified name in the output html. | xsl:element
which of the following is not a type of dtd? | table based.
the ________ parses and translates all inbound and outbound messages going to and from a business. | biztalk server.
all biztalk documents have the root element ________. | biztalk
soap stands for | simple object access protocol.
microsoft's version of scripting that uses the java syntax is called ________. | jscript
________ was originally created by ________. | javascript, netscape
the default scripting language for netscape and internet explorer is ________. | ecmascript
in the following line, the word document is a ________ which resides in the computer’s memory and contains information used by the script. document.writeln("hello world"); | object
in the following line, the word writeln is a ________ which performs a task or action in the script. document.writeln("hello world"); | method
document.writeln("hello world"); | hello world
the line window.alert("hello world") will display output in ________. | a dialog box
the \n,\t, \r escape sequences do not affect html rendering unless they are used between which tags? | <pre></pre>
consider the following script. what is wrong with the following code?<script language = "javascript">var firstnumber,secondnumber;thirdnumber;thirdnumber =parseint( window.prompt( "enter an integer", 0 ) );document.write( thirdnumber );</script> | the word var must be placed before thirdnumber in line 4.
what would the browser display if the following script was executed and the user entered 5 at both prompts? <script language = "javascript">var firstnumber = window.prompt("enter an integer", 0);var secondnumber = window.prompt("enter an integer",0);var thirdnumber;thirdnumber = firstnumber + secondnumber;document.write( thirdnumber ); </script> | 55
what is the result of the statement 17 % 5? | 2
which of the following selections does not follow the rules of operator precedence? | parentheses, subtraction, modulus
what is the evaluation of the following expression?((3+ (5 + 4) * 7) + 4) / 5 | 14
which of the following is not a valid equality or relational operator? | =
________ is an artificial and informal language that helps programmers develop algorithms. | pseudocode
which of the following contradicts the notion of structured programming? | goto
the word sequence in the term sequence structure refers to the sequence of ________. | javascript instructions in a script
which of the following is not one of bohm and jacopini's three control structures? | goto-less structure
which of the following flowchart symbols indicates that a decision is to be made? | diamond
which of the following is not a javascript selection structure? | for/in
which of the following is a javascript repetition structure? | do/while
which of the following is not a javascript keyword? | sub
which of the following statements is correct? | if ( studentgrade >= 60 )document.write( "passed" );
what would the browser display if the following code is executed in a script? var x = 11, y = 14; if ( x > 13 )if ( y > 13 ) document.writeln( "x and y are > 13" ); else document.writeln( "x is <= 13" ); | x is <= 13x
what would the browser display if the following code is executed in a script?var grade = 59 if ( grade >= 60 ) document.writeln( "passed." ); else document.write( "failed. " ); document.writeln( "you must take this course again." ); | failed.
what would the browser display if the following code was executed in a script? var product = 0; while ( product <= 25 ); product = 2 + product; | nothing, the script would result in an error
what would the browser display if the following script is executed? <script language = "javascript"> var count = 0, total = 0; while ( count <= 5 ) { total = total + 10; count = count + 1;} document.write(total); </script> | 60
what would the browser display if the following script is executed? <script language = "javascript"> var count = 5, total = 0; while ( count > -1 ) { total = total – 10; count = count – 1; } document.write(total);</script> | -60
if the string passed to parseint contains a floating-point numeric value, parseint will ________. | truncate the floating-point part
if the string passed to parseint contains text characters, parseint will ________. | return nan
what type of loop is shown in the script below? <script language = "javascript"> var gradevalue = 0, total = 0, grade = 0; while ( gradevalue != - 1 ) { total = total + gradevalue; grade = window.prompt("enter integer grade, -1 to quit:", "0"); gradevalue = parseint( grade ); }</script> | sentinel controlled
the word top in the term top-down stepwise refinement refers to which of the following? | the single statement that completely represents the program
what is the value of i after the following statements? i = 2; i += 25; | 27
what is the value of i after the following statements?i = 2;i++; | 3
what is the value of i after the following statements? i = 2; i--; i--; | 0
which of the following is not required for counter-controlled repetition? | sentine
what is wrong with the following line of code?<p><font size='5'>this is a test.</font></p> | nothing
what would the browser display if the following script was executed? <script language = "javascript"> for( int i = 0; i < 5; i++ ) document.write("x"); </script> | nothing, the script would generate an error
what would the browser display if the following script was executed? <script language = "javascript"> for( var i = 0; i < 5; i++ ) document.write("o"); </script> | ooooo
which of the following are declared correctly? | for (var i=0;i<100;++i ) { statement; }
which of the following is declared correctly and will not result in an error assuming x = 2 and y = 30? | for ( var j = x; j <= 80 * y; j += 5 / x )
which of the following is true? | for loops increment after the body statement is performed and while loops increment in either condition or body
what is the value of num after the following statement is performed? num = 2 * math.pow( 2, 3 ); | 16
the ________ multiple selection structure is used to handle multiple decisions making and can be used to replace multiple if and if/else statements. | switch
every switch structure must have ________ labels which are separated by the keyword break. | case
in a switch structure, the ________ case clause is used to process exceptional conditions and is usually listed last. | default
consider the following code selections. assume count is initialized to 7 and num is initialized to 0.ii) do { while ( count < 6 ) num = count; num = count; } while ( count < 6 ) what will the value of num be for i) and ii) respectively after the loops have been executed? | 7, 0
what would the browser display if it executed the following script? <script language = "javascript"> for ( var count = 1; count <= 10; ++count ) { if ( count == 5 ) break; } document.writeln( count ); </script> | 5
what would the browser display if it executed the following script? <script language = "javascript"> for ( var count = 0; count < 10; ++count ) { if ( count == 5 ) continue; } document.writeln( count );</script> | 10
what would the browser display if it executed the following script? <script language = "javascript"> var total = 0; stop: { // labeled compound statement for ( var i = 0; i < 5; ++i ) { for ( var j = 0; j < 2 ; ++j ) { if ( i == 2 ) break stop; total++; } total++; } total++; } total++; document.writeln( total ); </script> | 7
what would the browser display if it executed the following script?<script language = "javascript"> var total = 0; nextloop: for ( var i = 0; i < 5; ++i ) { for ( var j = 0; j < 2 ; ++j ) { if ( i < 2 ) continue nextloop; total++; } total++; } total++; document.writeln( total ); </script> | 10
which of the following will not evaluate to true? | false |    |   false
which of the following will evaluate to false? | false && false
which of the following is false? | in any flowchart, control structure (sequence, if, if/else, switch, while, do/while or for) can be replaced by 2 rectangle (actions) in sequence.
according to bohm and jacopini, which of the following does not follow structured programming? | nested building blocks
the best way to develop and maintain a large program is to construct it from small, simple pieces called ________. | modules
the technique of developing and maintaining a large program by constructing it from small, simple pieces is called ________. | divide and conquer
modules in javascript are called ________. | functions
the “prepackaged” functions that belong to javascript objects such as math.pow and math.round are often called ________. | methods
all variables declared in function definitions are ________. | local variables
functions are invoked by writing the name of the function, followed by the function's ________ in closed parenthesis. | arguments
function definitions often contain ________ which are considered to be local variables and correspond with the arguments in the function call. | parameters
which of the following is a legal function call for the function definition provided below? function square( y ) { return y * y;} | square(7+2);
what is the result of writing the keyword var in a function parameter list? | the parameter following the keyword would become a static variable.
what would the function cube return, assuming it is called with the line cube(3). function cube(y); { return y * y * y; } | javascript runtime error
what does the following statement do?math.floor( math.random() * 12 ); | this creates a random number from 0 up to but not including 12.
the value a in the following statement is called the ________ and the value b is called the ________. face = math.floor( a + math.random() * b ); | shifting value, scaling factor
where on the browser will the command window.status( "text" ) display output? | on the status bar
the style of programming in which the user interacts with a gui component is called ________ programming. | event-driven
if the html form game has a text field named point in it, what is the proper way to set the text associated with point to 10? | game.point.value = "10"
the ________ of a variable is the period during which it exists in memory. | duration
identifiers that represent local variables in a function ________. | exist while the function in which they are declared is still active
local variables have ________ duration. | automatic
identifiers which have static duration ________. | are globally accessible to the script
script-level variables have ________ duration. | static
the _______ of an identifier for a variable or function is the portion of the program in which the identifier can be referenced. | scope
giving a local function variable the same name as a global variable will result in which of the following? | the local variable will "hide" the global variable.
_________ are data structures consisting of related data items (sometimes called collections of data items). | arrays
to refer to a particular location or element in the array, we specify the name of the array and the ________ of the particular element in the array. | position number
which of the following is the proper method to access the length of the array arr[]? | arr.length
to divide the value of the seventh element of array a by 2 and assign the result to the variable x, we would write ________. | x = a[ 6 ] / 2
which of the following is the proper method to dynamically allocate memory to an array of 100 elements? | var c = new array( 100 );
the statement on line 1 ________ the array while the statement on line 2 ________ the array. 1 var c; 2 c = new array( 12 ); | declares, allocates
initializing an array directly involves using the ________ control structure. | for loop
what would the browser display if this script was executed?<script language = "javascript"> var c = new array(8) for( var i = 0; i < 8; i++ ) c[i] = i; document.write(c[8]) </script> | undefined
what would the browser display if this script was executed?<script language = "javascript"> var c = new array(8) for( var i = 0; i < 10; i++ ) c[i] = i; document.write(c[9]) </script> | 9
which of the following is an illegal array initialization statement? | var n = new array( 5 ); n = [ 10, 20, 30, 40, 50 ];
in the following statement, the range of the variable element is ________. for ( var element in thearray ) total2 += thearray[ element ]; | 0 to the array length - 1
what is the value of num assuming that all 12 elements of array test are initialized to 3? ++test[ 7 ]; var num = test[ 7 ]; | 4
in javascript, all objects and arrays are passed to functions by ________. | reference
call-by- ________ is the method of passing a copy of the argument's value to a function. | value
call-by- ________ is the method of passing the argument's actual location in memory to a function. | reference
in javascript, numbers and boolean values are passed to functions by ________. | value
what is the effect of the join statement in the following code? var thearray1 = [ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 ], thearray2 = [ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 ]; var value = thearray1.join( " " ); | the join method will create a string from the values in thearray1..
what will the browser display if the following script is executed?< script language = "javascript" > var thearray = [ 1, 2, 3, 4, 5, 6, 7, 8, 9 ]; modifyarray( thearray[ 3 ] ); document.write( thearray.join( " " ) ); function modifyarray( i ) { i = 11; }</script> nothing, the browser will generate an error. | 1 2 3 4 5 6 7 8 9
the java sort method uses ________ to sort the array passed to it. | string comparison
mc: how many comparisons will a linear search function makes before finding a match if the search key has a value of 3 and the array x has the values: x[ 0 ] = 0 x[ 1 ] = 2 x[ 2 ] = 1 x[ 3 ] = 4 x[ 4 ] = 3 x[ 5 ] = 3 | 5
what would the browser output if the following script is executed? < script language = "javascript" > var array = [ [ 1, 2, 3 ], [ 1, 2, 3 ] ]; for ( var i in array ) { for ( var j in array[ i ] ) document.write( array[ i ][ j ] + " " ); document.writeln("<br>"); } < /script > | 1 2 3 1 2 3
each object has ________ or data and ________ or behavior. | attributes, methods
which of the following is false? | objects do not have the property of information hiding.
an object's methods and attributes are accessed by writing the name of the object followed by the ________. | dot operator
what does the value string contain after the following code is executed? var string = "good luck on the test"; string = string.charat( 3 ); | d
what does the value string contain after the following code is executed? var string = "good luck on the test"; string = string.split( " " ); | good luck on the test
what does the value string contain after the following code is executed? var string = "good luck on the test"; string = string.link("www.deitel.com") | a link to www.deitel.com with the text "good luck on the test"
what is the value of s3 after the following code is executed? var s1 = one, s2 = two, s3 = three; s1.concat(s2) s3 = s1; | onetwo
what is the value of s1 after the following code is executed? var s1 = "deitel and associates" s1 = s1.slice( 6 ) | and associates
which of the following methods would you use to search a character for a specific string? | indexof
which of the following methods would you use to convert a list of unicode values into a string containing the corresponding characters? | fromcharcode
what will value contain after the following code is executed? var value = new date(); value = value.valueof(); | a large integer representing the number of milliseconds between midnight january 1, 1970 and the current date
which of the following methods does the javascript boolean object not possess? | toint
which of the following methods does the javascript number object not possess? | valueof
________ allow you to specify the style of your page elements (spacing, margins, etc.) separately from the structure of your document. | cascading style sheets
________ are declared in each individual html element using the keyword style. | inline styles
text style sheets use which of the following mime types? | text/css
in the body of a style sheet, css rule properties are followed by a ________. | colon
multiple css rule properties in style sheets are separated by a ________. | semicolon
how will the following css rule alter the webpage if it is applied in a style sheet? h1 { font-family: arial, sans - serif } | all text enclosed by h1 tags will have the sans-serif font if arial is not supported by the system.
what is the purpose of the line beginning with a.nodec in the following script? | the .nodec appended to a is an extension of class styles and will apply only to a elements that specify nodec as their class
what is the significance of the line? c[9] li em { color: red; font-weight: bold } | it will apply the specified style to text enclosed by the em tags which are within li tags.
what is the significance of the following css rule?li, em { color: red;c font-weight: bold } | it will apply the specified style to text enclosed by either li or em tags.
external style sheets are saved with the ________ extension. | .css
in which of the following do you set the mime type of the external style sheet? | <link></link>
if an element's position is declared as absolute then ________ . | positioning is set according to the margins of its parent element
setting an element's position to relative is done within which of the following? | <style></style>
which of the following settings for a background image can be modified to create a "watermark" effect where scrolling will not move the image from its set position. | background-attachment
which of the following settings can be altered to change the darkness of the font? | font-weight
when using the width, height and overflow properties of an element, position must be ________. | not absolute
in order for elements to be floated, position must be ________. | not absolute
elements which have absolute position are automatically ________ the text flow. | removed from
the outermost layer of the box model is the ________. | margin
the ________ is the distance between the content inside an element and the edge of the element. | padding
which of the following is not a border property? | shape
the css specification gives precedence to ________. | author styles over user styles
what does the following css rule do?.note { font-size: 1.5em } | it multiplies all text object font sizes with class = "note" by 1.5.
the simplest way to reference a dhtml element is by its ________ attribute. | id
consider the following html document. <!doctype html public "-//w3c//dtd html 4.0 transitional//en"> <html> <head> <title>object model</title> <script language = "javascript"> function start() { alert( ptext.innertext ); ptext.innertext = "thanks for coming."; } </script> </head> <body onload = start()> <p id = "ptext">welcome to our web page!</p> </body> </html> which of the following selections a true statement? | the ptext object does not have an innertext attribute.
the all collection is a property of the ________ object. | document
consider the following html document. <html> <head> <title>children collection</title> <script language = "javascript"> </script> </head> <body> <p></p> </body> </html> select the true statement. | the script element is a direct child of the head element.
which of the following is the proper way to dynamically access the background color from within the script? | document.body.style.backgroundcolor
which of the following is the proper way to dynamically access the border width from within the script? | document.body.style.borderwidth
css positions can be either absolute or ________. | relative
what is the significance of the second function argument in the following line? window.setinterval( "run()", 100 ); | the value sets how often to run the function.
which of these is the proper function that stops a windows timer. | clearinterval
consider the following html document. <html> <head> <title>frames collection</title> </head> <frameset rows = "100, *"> <frame src = "top.html" name = "first"> <frame src = "" name = "second"> </frameset> </html> which of the following is the proper way to access the frame "second" from the script of an outside document? | parent.frames( " second" )
the ________ object contains information about the web browser that is viewing the page. | navigator
what is stored inside the variable value after the following line of code is executed? var value = navigator.appversion; | it stores a string representing the version of the browser and other information.
with the ________, scripts can respond to a user moving the mouse, scrolling up or down the screen or entering keystrokes. | event model.
the ________ attribute of the ________ element specifies another element that is identified by its ________ attribute. | for, script, id.
the onload event fires ________. | whenever an element finishes loading successfully.
what does the following html document do? <html> <head> <title>dhtml event model - onload</title> <script language = "javascript"> var value = 0; function starttimer(){ window.setinterval( "updatetime()", 1000 ); } function updatetime(){ value++; ptext.innertext = value; } </script> </head> <body onload = "starttimer()"> <p><a id = "ptext">0</a></p> </body> </html> | it counts the number of seconds elapsed viewing the page.
the onerror event is used to handle all of these except. | user errors.
which of these is the command to enable error handling on a web page? | window.onerror
event ________ fires constantly whenever the mouse is in motion. | onmousemove
if you used the onmousemove event to capture mouse events over an image, which of the following event properties would you use to capture the location of the mouse cursor relative to the image boundaries? | offsetx / offsety
what does the srcelement event property contain? | a reference to the element that fired the event.
when the mouse moves over an element which of the following is triggered? | onmouseover
the onfocus event fires when ________. | an element is clicked.
the onblur event is associated with ________. | an element losing focus.
what is the effect of the following line of code? window.event.returnvalue = true; | it returns a true value to signal the browser to continue its default event-handling action.
event bubbling is _______. | the process of child elements passing events to their parent elements.
________ fires when the right mouse button is clicked. | oncontextmenu
which of the following is false? | filters and transitions cannot be adjusted dynamically.
which browsers can view the visual effects created by filters and transitions? | netscape
which of the following is the proper method to apply the fliph filter to the following h1 element? <h1 id = "test">this is a test</h1> | the filter cannot be applied to this element.
the chroma filter is used to ________. | apply transparency effects dynamically
which of the following is true regarding the dhtml mask filter: | it is used to create images with transparent foregrounds
which is the proper method to set the mask color? | filter: mask( color = #ccffff )
which of the following is true? | the invert filter applies a negative image effect.
which of the following is true? | the shadow filter property can be set to exactly 8 different values
which of the following best describes the visual effect that alpha is used for? | replacing text colors
which of the following is not a property of the glow filter? | direction
which of the following is not a property of the blur filter? | all of these are properties of the blur filter.
which of the following is not a property of the wave filter? | direction
the ________ property of the wave filter determines how many waves will be applied in the affected area. | freq
the ________ property of the wave filter shifts the effect in space. | phase
the ________ property of the wave filter determines the wave's amplitude. | strength
which of the following is true? | the dropshadow filter does not have a direction attribute.
the first two parameters in the addpoint method ________. | sets the point source of the light
the third parameter in the addpoint method ________. | sets the height of the point source
