which of these following items are benefits of e-learning? hint: choose multiple answers (3) | ,lower cost,greater flexibility,more effective learning
a marketer that uses e-mail to advertise to potential customers is called a: | viral marketer.
an e-tailer uses cookies to identify returning customers and to provide suggested products for purchase based on prior shopping behavior. this is an example of _________ | personalization
banner advertising on web sites helps trigger a realization that there is a gap between reality and a desired state, which occurs in the __________ stage of the ec purchase decision-making process. see figure | need identification
social class, lifestyle, personality, and activities are descriptors used in ___________ market segmentation. demographic: nhn kh?u h?c psychographic: tm l h?c | psychographic
web analytics and mining tools and services: mining (n): khai ph d? li?u clickstream (n): kch chu?t merchandisers (n): mua hng | offer advanced functions that help marketers decide which products to promote, and merchandisers achieve a better understanding of the nature of demand.
companies that use an intermediary to do their buying and selling tend to be: | low on supply chain power and low on buying/selling capabilities
when planning, designing and implementing integrated supply chain operations, management requires a holistic focus that takes account all of the following primary factors except: | location and revenues.
dells cornerstone business model is based on the concept of: | build-to-order which allows customers to configure their own customized systems.
_____________ refers to the buying and selling of goods and services; servicing of customers; collaborating with business partners; and conducting electronic transactions within an organization. | e-business
ec can take several forms depending on the degree of digitization of the following three dimensions ___________ | the product or service sold, the process, and the delivery method.
purely physical companies are referred to as ____________ companies, whereas companies that are engaged only in ec are considered ________________ companies. | brick-and-mortar; virtual
the ways in which ec is done include ______________________ | the internet, value-added networks, on local area networks using intranets, or on a single computerized machine.
_______________ are systems where only routine transaction processing and information flow take place between two or more organizations using a standard protocol, such as electronic data interchange (edi). | interorganizational information systems
intrabusiness ec is usually performed over intranets and/or _______________. | corporate portals
a technology that is used to electronically transfer routine documents, such as invoices and purchase orders, and for financial transactions is ___________. | electronic data interchange
the major __________ e-marketplaces are storefronts and internet malls. | b2c
_______________ are online markets owned and operated by a single company and may be either sell-side or buy-side. | private e-marketplaces
a(n) ____________ is an order-processing technology that allows customers to accumulate items they wish to buy while they continue to shop. | electronic shopping cart
an auction in which there is one buyer and many potential sellers; or in which a buyer places an item for bid on an rfq system and the lowest bid wins is referred to as all of the following except: | reverse auctions.
what is a benefit of e-auctions to sellers? | the optimal price is determined by the market.
organizations are embracing mobilized computing technologies for several reasons except: | wireless security problems have been solved with encryption.
the type of e-auction is based on__________________ | demand and supply relationship
a(n) _____________ is a single point of access through a web browser to help users find relevant and accurate business information and reduce information overload. | information portal
the hotdeal.vn, muachung.vn websites are examples of _______________ | b2b2c model
to be successful and useful, large e-catalogs need a(n) __________________. | search engine
transaction fees model | 1400712639097
subscription model | 1400712643513
advertisement model | 1400712649430
affiliate model | 1400712654817
sales model | 1400712659179
in ec framework, which of the following items are belong to infrastructure layer? hint: choose multiple answers (2) | ,security,messaging and information distribution
see the figure and choose the right options to fill in blank a and b | a is infrastructures and b is support services
search engine optimization (seo) is the process of affecting the visibility of a website or a web page in a search engine's unpaid results - often referred to as "natural," "organic," or "earned" results. in general, the earlier (or higher ranked on the search results page), and more frequently a site appears in the search results list, the more visitors it will receive from the search engine's users. which of the following category seo is belonged to? | marketing and advertising
choose the right type of e-commerce based on the following statement: "the e-commerce activities conducted in social networks and/or by using social software (i.e., web 2.0 tools)" | s-commerce
in e-commerce, what does pki stand for? hint: capitalize the first letter of each word (e.g. nic you need to enter network interface card only) | public key infrastructure
the technology platform to keep every online transaction secured is _______________ | pki
in digital signature, which of the following encryption algorithm is applied? | rsa
according to peter drucker, e-commerce is profoundly changing markets, industry structures, products and services, consumer segmentation, consumer values and consumer behavior; jobs, and labor markets. | true
by purchasing a textbook from amazon.com and having the merchandise physically delivered, amazon.com would be considered a click-and-mortar organization because pure ec did not occur. | true
in the field, a sales representative writes notes with a mobile handwriting-recognition computer immediately after a sales call. this can be viewed as an ec activity. | false
in addition to ec being conducted via the internet, ec can be conducted over local area networks (lans). | true
an example of business-to-consumer (b2c) is when dell provides customer service online by collaborating electronically with its partners. | false
an internal corporate network that uses internet tools, such as web browsers, is known as an intranet. | true
an extranet is a network that uses the internet to link together multiple intranets. | true
purchasing a dell computer online for use at home is an example of e-tailing. | true
networked computing connects multiple computers and other electronic devices that are located in various locations by telecommunications networks, including wireless ones. | true
when dell purchases godiva chocolates as gifts for its employees and has godiva mail them directly to the recipient dell is engaged in b2b2c. | true
peer-to-peer (p2p) technology can be used in c2c, b2b, and b2c. | true
the final participants in b2b transactions are consumers. | false
doing your banking on an internet-enabled cell phone is an example of m-commerce. | true
despite the many e-tailing ec companies that have failed in the past, the dot-com failure rate has recently declined sharply. | true
since 2001, no other company has had more of an impact on ec than myspace. | false
wikipedia.com, a web site that allows people to work together online and share information, is an example of web 2.0. | true
the digital economy refers to an economy based on digital communication networks, computers, software, and other related information technologies that provide a global platform over which people and organizations interact, communicate, collaborate, and search for information. | true
economic, legal, societal, and technological factors have created a highly competitive business environment in which customers are becoming less powerful. | false
strong competition and increased power of consumers are two of the major market pressures in todays business environment. | true
business models are a subset of a business plan or business case and refer to methods of doing business by which a company can generate revenue. | true
a business model outlines how the organization or the ec project will generate revenue through sales, transaction fees, advertising fees, affiliate fees, or other revenue sources. | false
social networks, such as facebook, youtube, and myspace, are web sites that connect people with specific interests by providing free services such as photo sharing, e-mail, and blogging. | true
many companies used a corporate portal, which is a gateway for customers, employees, and partners to reach corporate information and communicate with the company. | true
ec can take several forms depending on the degree of digitization of the following three dimensions: | the product or service sold, the process, and the delivery method.
the ways in which ec is done include: | the internet, value-added networks, on local area networks using intranets, or on a single computerized machine
a business such as apple computers making online transactions with its trading partners is an example of: | b2b
ec applications are supported by infrastructure and by each of the following support areas except: | mobile devices
challenges that boeing faced with its global collaboration for the design and assembly process of its new dreamliner passenger plane included each of the following except: | lag time
a large number of ec companies, especially e-tailing and b2b ones, failed from 1999 to 2005 for each of the following reasons except: | the companies failed to register with search engines, such as google.
refers to the second-generation of internet-based services that let people collaborate and share information online in new ways, such as social networks and wikis. | web 2.0
which of the following is not a characteristic of the digital revolution? | many business processes are expedited by up to 50 percent.
because the rate of change and the level of uncertainty are expected to accelerate, organizations are | operating under increasing pressures to produce more products, faster, and with fewer resources.
according to the business environment impact model, ___________ provide support to organizations activities and to actual performance, countering business pressures. | ec and it
a ____________ is a companys method of doing business to generate revenue to sustain itself. | business model
according to the __________________ revenue model, companies receive commissions for referring customers to others ec web sites. | affiliate fees
according to the __________________ revenue model, customers page a fixed amount, usually monthly, to receive some type of service. | subscription fees
large private organizational buyers and government agencies make large-volume or large-value purchases through ____________________, also known as reverse auctions. | electronic tendering systems
according to the _____________ model, an organization can increase brand awareness or even generate sales by web-based word-of-mouth marketing or promoting a product or service to other people. | viral marketing
online group purchasing organizations are known as: | e-co-ops
major barriers to ec include all of the following except: | lack of technology
which of the following is a technological limitation of ec? | order fulfillment requirements of large-scale b2c.
a job opening in the sales department posted on the company's intranet by the human resources department is an example of: | b2e
boeing designing a product together with a business partner is this type of interaction: | collaborative commerce
a corporation uses the internal revenue service's web site to learn how to pay its estimated quarterly income taxes. this is an example of: | g2b
the second-generation of internet-based services that lets people collaborate and share information online is known as web 2.0. an example of this is: | blogging
the digital enterprise shifts the focus from managing individual information resources such as devices, applications, and data to ________________ that define the business and ultimately deliver value to customers and end users. | orchestrating the services and workflows
many companies employ a(n) ________________, which is a gateway for customers, employees, and partners to reach corporate information and to communicate with the company. | corporate portal
is the process of buying, selling, or exchanging products, services, or information via computer networks. | electronic commerce
refers to a broad range of business activities that includes not just the buying and selling of goods and services, but also servicing customers, collaborating with business partners, and conducting electronic transactions within an organization | e-business
are organizations that conduct their business activities solely online. | virtual (pure-play) organizations
are those that conduct some ec activities, usually as an additional marketing channel. | click-and-mortar (or click-and-brick) organizations
ec can be conducted in an ... where buyers and sellers meet online to exchange goods, services, money, or information. | electronic market (e-marketplace)
is a corporate or government network that uses internet tools, such asweb browsers, and internet protocols. | intranet
is a network that uses the internet to link multiple intranets. | extranet
an ec model in which all of the participants are either businesses or other organizations is | business-to-business (b2b) e-commerce.
is an ec model in which businesses sell to individual shoppers. | business-to-consumer (b2c)
is an ec model in which a business provides some product or service to a client business that maintains its own customers | business-to-business-to consumer (b2b2c)
is an ec model in which ec transactions and activities conducted in a wireless environment. | mobile commerce (m-commerce)
refers to m-commerce transactions targeted to individuals in specific locations, at specific times. | location-based commerce (l-commerce)
is an e-commerce category that includes all internal organizational activities that involve the exchange of goods, services, or information among various units and individuals in an organization. | intrabusiness ec
technology enables networked peer computers to share or swap data files, music, videos, software, and processing with each other directly. | peer-to-peer (p2p)
is a public electronic market with many buyers and sellers. | exchange
since 2001, no other company has had more of an impact on ec than | google.
was coined by oreilly media in 2004 to refer to a supposed second generation of internet-based services that let people collaborate and share information online in new ways, such as social networking and wikis. | web 2.0
chips are tiny tags can be implanted into humans or attached to products for tracking and identification purposes. | radio frequency identification (rfid)
is a method of doing business by which a company can generate revenue to sustain itself. | business model
is the rapid production of customized products or services at a reasonable cost for a large number of customers. | mass customization
is a description of how a company or an ec project will generate revenue. | revenue model
refers to the benefits, including the intangible, nonquantitative ones, that a company can derive from using ec. | value proposition
which involve bundling some goods and services together to provide more value than from offering them separately. | complementarities
is an arrangement whereby a marketing partner or individual refers consumers to the selling companys web site. | affiliate marketing
is a gateway through which employees, business partners, and the public can enter a corporate web site. | corporate portal
the functions and efficiency of an e-market are the same as that of a physical marketplace. | false
the emergence of electronic marketplaces has resulted in lower information search costs for buyers and lower transaction and distribution costs for sellers. | t
although both marketplaces and marketspaces can sell physical products, the marketspace also can sell digital products, which are goods that can be transformed to digital format and delivered instantly over the internet. | t
front end refers to the activities that support online order fulfillment, inventory management, purchasing from suppliers, payment processing, packaging, and delivery. | f
in marketing, an intermediary is a third party that operates between sellers and buyers. intermediaries of all kinds offer their services on the web. | t
webmd, which is the largest u.s. medical services company, is known mainly for its webmd.com consumer portal, but its core business is being an e-intermediary. | t
the major b2b e-marketplaces are electronic storefronts, internet malls, and exchanges. | f
a portal is an information gateway that attempts to address information overload by enabling people to search and access relevant information from disparate it systems and the internet, using advanced search and indexing techniques, such as googles desktop. | t
intermediaries are human or electronic agents that play an important role in ec by providing value-added services such as making payment arrangements to buyers and sellers. | t
travelers using airline web sites to book their flights directly without the use of travel agents is resulting in the reintermediation of travel agents. | f
search engines not only search and match, but also have capabilities that can be used to perform routine tasks that require intelligence. | f
an electronic shopping cart is an order-processing technology that allows customers to accumulate items they wish to buy while they continue to shop. | t
shopping carts for b2b are fairly simple, but a shopping cart for b2c may be more complex. | f
an auction is a competitive process and market mechanism that uses a competitive process by which a seller solicits consecutive bids from buyers or a buyer solicits bids from sellers. | t
negotiation and bargaining are two types of auctions where prices are not fixed, but rather are allowed to fluctuate as market supply and demand change. | f
reverse auctions are bidding or tendering systems in which the buyer places an item for bid on a request for quote (rfq) system; then potential suppliers bid on the job, with the price reducing sequentially, and the lowest bid wins. | t
e-auctions are becoming less important selling and buying channels for companies and individuals | f
the major limitations of e-auctions are insufficient security, risk of fraud, and a limited pool of participants | t
a limitation of e-bartering for businesses is that excess capacity items such as office space, storage, factory space; idle facilities; and labor cannot be bartered. | f
online negotiation can be facilitated by computer technology for the negotiation process and software agents for searches and comparisons. | t
fundamentally, the success of the pure-play jewelry e-tailer blue nile was due to the companys use of internet technologies to: | offer lower prices than competitors
traditional and electronic markets have three main functions, which include each of the following except: | transforming raw materials into finished products.
digital products have different cost curves than those of regular products because: | in digitization, most of the costs are fixed, and variable costs are very low.
the portion of an e-sellers business processes through which customers interact, including the sellers portal, electronic catalogs, a shopping cart, a search engine, and a payment gateway is referred to as the _____________ of the business. | front end
all the activities that are related to order aggregation and fulfillment, inventory management, purchasing from suppliers, accounting and finance, insurance, payment processing, packaging, and delivery are done in what is termed the_______ of the business. | back end
an electronic storefront includes several mechanisms that are necessary for conducting the sale. the most common mechanisms include each of the following except: | a supply chain
finding relevant and accurate information is often time-consuming and requires access to multiple systems causing organizations to lose a lot of productive employee time. one solution to this problem is the use of: | portals.
a type of broker that helps consumers compare different stores is a: | shopping facilitator.
human or electronic intermediaries attempt to address each of the following limitations of direct interaction except: | product distribution.
the elimination of various types of agents that mediate between buyers and sellers, such as travel and insurance agents, is referred to as: | disintermediation
a mode is purchasing where prices are negotiated or discounted is ________________, which refers to nonfixed prices, such as those in auctions or stock markets. | dynamic pricing
although used occasionally in b2c commerce, customized catalogs are especially useful in b2b e-commerce for each of the following reasons except: | intranets, in particular, can deliver customized catalogs to different business customers.
a ____________ has capabilities that can be used to perform routine tasks that require intelligence such as providing customers with assistance based on their movements on a web site | software agent
popular search engines include all of the following except: | msn
ec competition is very intense because online transactions enable each of the following except: | higher prices because of a greater number of potential buyers.
which of the following statements about differentiation and personalization is not correct? | products must be differentiated for perfect competition.
it can be said that competition between companies is being replaced by competition between ___________ . | networks
the internet has influenced industry structures in each of the following ways except | increases differences among competitors whose offerings are kept proprietary.
impacts of e-marketplaces on b2c direct marketing include all of the following except: | brand images for new companies have become more difficult to establish.
one of the major benefits of e-markets is the improvement in supply chains with the creation of a(n) _____________________. | hub-based chain
______________ provides customers with exactly what they want, when and where they want it. effective communication between the supply chain and the factory floor is needed to make it happen | demand-driven manufacturing
is a virtual marketplace in which sellers and buyers meet and conduct different types of transactions | e-marketplace
is a marketplace in which sellers and buyers exchange goods and services for money or for other goods and services, but do so electronically. | marketspace
is typically a third party that operates between sellers and buyers | intermediary
is the portion of an e-sellers business processes through which customers interact, including the sellers portal, electronic catalogs, a shopping cart, a search engine, and a payment gateway. | front end
refers to a single companys web site where products and services are sold. | storefront
are online markets owned and operated by a single company. | private e-marketplaces
is a single point of access through a web browser to critical business information located inside and outside of an organization | information portal
are portals that offer fairly routine content for broad audiences and are the most popular portals on the internet; e.g., yahoo.com, aol.com, and msn.com. | commercial (public) portals
e-marketplaces, especially for b2b and mega b2c such as amazon.com may be plagued by | information overload
in cyberspace, there are intermediaries that provide and/or control information flow. these electronic intermediaries are known as | infomediaries.
is a company that facilitates transactions between buyers and sellers. | broker
is the elimination of intermediaries between sellers and buyers. | disintermediation
is a computer program that can access databases of internet resources, search for specific information or keywords, and report the results | search engine
refers to prices that are not fixed, but that are allowed to fluctuate as supply and demand in a market change | dynamic pricing
refers to the conduct of e-commerce via wireless devices or from portable devices. | mobile commerce
is an m-commerce application targeted to a customer whose preferences and needs and location (e.g., using gps) are known in real time. | location-based commerce
because of these interrelationships, the business model of the internet economy has been called the | internet ecosystem
involves providing a product or service that is unique and not available elsewhere | differentiation
is a model devised by porter that says that five major forces of competition determine industry structure and how economic value is divided among the industry players in an industry; analysis of these forces helps companies develop their competitive strategy. | competitive forces model
offer two-way video, on-the-fly interaction, and application sharing. such systems provide for interactive remote instruction systems, which link sites over a high-speed intranet. | e-learning systems
the amount and percentage of goods and services sold on the internet is increasing rapidly, despite the failure of many dot-com companies. | t
a retailer is a sales intermediary, a seller that operates between manufacturers and customers. | t
consumer electronics, including cell phone sales, are the largest category of online retail. | f
jewelry sales over the internet is just beginning, but could be one of the top sellers on the internet in the near future. | f
offline transactions are somewhat influenced by research conducted online, with approximately one-third of online shoppers reporting that they used the internet to research and influence their offline shopping choices. | f
evidence indicates that the basic principles that apply to retail success do not apply to e-tail success. | f
offering quality merchandise at good prices, coupled with excellent service, and cross-channel coordination and integration in which customers can almost seamlessly operate between the online and physical environments of a business are also important elements in successful e-tailing. | t
goods with the following characteristicguarantee provided by highly reliable or well-known vendorsare expected to facilitate higher sales volumes. | t
a business model is an analysis of the organizations customers and, from that, a discussion of how that organization will achieve profitability and sustainability by delivering goods and services to those customers. | t
